,小区,简介,房屋结构,朝向,面积(平方米),月租,平米月租
53,滨兴小区西区 ,滨兴小区西区 1室1厅 3800元,1室1厅 ,南,60,3800,63.3 
54,江南星座 ,江南星座 1室1厅 5500元,1室1厅 ,南,86,5500,64.0 
55,彩虹城 ,彩虹城 2室1厅 6300元,2室1厅 ,南,98.42,6300,64.0 
56,彩虹城 ,彩虹城 2室1厅 6300元,2室1厅 ,南,98.42,6300,64.0 
57,白马湖小区凤凰苑 ,白马湖小区凤凰苑 3室2厅 5800元,3室2厅 ,南 北,90,5800,64.4 
58,银爵世纪公寓 ,中等装修，生活设备齐全，可拎包入住,2室2厅 ,南,89.2,5800,65.0 
59,倾城之恋 ,倾城之恋 3室1厅 8000元,3室1厅 ,南,122.93,8000,65.1 
60,云厦连园 ,地铁房，距离地铁500米，出行便利，配套齐全,4室1厅 ,南,89,5800,65.2 
61,江南文苑 ,江南文苑 2室1厅 5800元,2室1厅 ,南,89,5800,65.2 
62,江南文苑 ,江南文苑 2室1厅 5800元,2室1厅 ,南,89,5800,65.2 
63,天鸿君邑 ,天鸿君邑，地铁4号线，配套齐全，出行方便拎包入住。,1室1厅 ,南,56.56,3700,65.4 
64,白金海岸 ,白金海岸 2室2厅 6200元,2室2厅 ,南,94,6200,66.0 
65,锦绣江南 ,锦绣江南 3室1厅 7200元,3室1厅 ,南,108,7200,66.7 
66,龙湖春江彼岸 ,龙湖春江彼岸 3室1厅 6000元,3室1厅 ,南,90,6000,66.7 
67,文耀大厦 ,文耀大厦 1室1厅 4600元,1室1厅 ,南,68.88,4600,66.8 
68,欣盛东方郡东区 ,欣盛东方郡东区 2室1厅 6000元,2室1厅 ,南,89,6000,67.4 
69,欣盛东方郡东区 ,欣盛东方郡东区 2室1厅 6000元,2室1厅 ,南,89,6000,67.4 
70,江南文苑 ,江南文苑 3室2厅 6000元,3室2厅 ,南,89,6000,67.4 
71,倾城之恋 ,倾城之恋 3室1厅 8500元,3室1厅 ,南,125,8500,68.0 
72,超级星期天 ,杭二中 中控　超级星期天　简装一室,1室0厅 ,南,38,2600,68.4 
73,欣盛东方郡西区 ,欣盛东方郡西区 2室1厅 6000元,2室1厅 ,南,87,6000,69.0 
74,春波西苑 ,春波西苑 2室1厅 4500元,2室1厅 ,南,65,4500,69.2 
75,钱江水晶城 ,钱江水晶城 2室1厅 5200元,2室1厅 ,西南,75,5200,69.3 
76,南都江滨花园 ,南都江滨花园 3室1厅 7000元,3室1厅 ,南 北,100,7000,70.0 
77,南都江滨花园 ,南都江滨花园 3室1厅 7000元,3室1厅 ,南 北,100,7000,70.0 
78,欣盛东方郡西区 ,欣盛东方郡西区 2室2厅 6200元,2室2厅 ,南,88.29,6200,70.2 
79,绿地旭辉城 ,奥体简装三房  生活方式 交通便利,3室2厅 ,南,89,6300,70.8 
80,欣盛东方郡东区 ,欣盛东方郡东区 2室1厅 6400元,2室1厅 ,南 北,89.87,6400,71.2 
81,滨兴东苑 ,滨兴东苑 2室2厅 5700元,2室2厅 ,南,80,5700,71.3 
82,同人春江时代花园 ,同人春江时代花园 4室2厅 13500元,4室2厅 ,南,189.38,13500,71.3 
83,钱塘景苑 ,钱塘景苑 3室2厅 7500元,3室2厅 ,南,105,7500,71.4 
84,钱塘景苑 ,钱塘景苑 3室2厅 7500元,3室2厅 ,南,105,7500,71.4 
85,天寓 ,近地铁，靠沿江风光带！高档品质休闲应有，尽有！,3室2厅 ,南,167.63,12000,71.6 
86,超级星期天 ,超级星期天 1室1厅 2800元,1室1厅 ,北,39,2800,71.8 
87,超级星期天 ,超级星期天 1室1厅 2800元,1室1厅 ,北,39,2800,71.8 
88,超级星期天 ,超级星期天 1室1厅 2800元,1室1厅 ,北,39,2800,71.8 
89,绿地旭辉城 ,一线江景房 视野开阔 精装修大三房 近奥体三桥钱塘江,3室1厅 ,南 北,138,10000,72.5 
90,凯瑞金座 ,凯瑞金座 1室1厅 4300元,1室1厅 ,北,59,4300,72.9 
91,龙湖春江彼岸 ,龙湖春江彼岸 3室2厅 6500元,3室2厅 ,南,89.08,6500,73.0 
92,绿地旭辉城 ,绿地旭辉城  边套双阳台 开发商统一精装修 宜家家具,3室1厅 ,南,89.01,6500,73.0 
93,绿地旭辉城 ,绿地旭辉城 3室2厅 6500元,3室2厅 ,南,89,6500,73.0 
94,半岛国际 ,半岛国际 3室2厅 6500元,3室2厅 ,南 北,89,6500,73.0 
95,中南白马湖壹号 ,白马湖壹号 四房两厅三卫 朝南带阳台家电齐全 随时看,4室1厅 ,南,89,6500,73.0 
96,钱塘帝景 ,钱塘帝景 2室1厅 6500元,2室1厅 ,南,89,6500,73.0 
97,风尚蓝湾 ,风尚蓝湾 1室1厅 3300元,1室1厅 ,南,45,3300,73.3 
98,风尚蓝湾 ,风尚蓝湾 1室1厅 3200元,1室1厅 ,南,43.4,3200,73.7 
99,湘云雅苑 ,湘云雅苑 2室1厅 4700元,2室1厅 ,南,63,4700,74.6 
100,湘云雅苑 ,湘云雅苑 2室1厅 4700元,2室1厅 ,南,63,4700,74.6 
101,绿地旭辉城 ,绿地旭辉城 1室1厅 4500元,1室1厅 ,西,60,4500,75.0 
102,湘云雅苑 ,湘云雅苑 4室1厅 7500元,4室1厅 ,南,100,7500,75.0 
103,湘云雅苑 ,湘云雅苑 4室1厅 7500元,4室1厅 ,南,100,7500,75.0 
104,长江西苑 ,长江西苑 3室1厅 6000元,3室1厅 ,南,80,6000,75.0 
105,星光国际公馆 ,星光国际公馆 2室2厅 5500元,2室2厅 ,西北,73.13,5500,75.2 
106,瑞立东方花城 ,瑞立东方花城 3室1厅 6500元,3室1厅 ,南,86.4,6500,75.2 
107,绿地旭辉城 ,一线江景房  视野开阔 精装修大三房 近奥体三桥钱塘江,3室2厅 ,南 北,90,6800,75.6 
108,星光国际公馆 ,星光国际公馆 1室1厅 4000元,1室1厅 ,东,52.83,4000,75.7 
109,龙禧硅谷酒店广场 ,龙禧硅谷酒店广场 1室1厅 4100元,1室1厅 ,南,54,4100,75.9 
110,湘云雅苑 ,湘云雅苑 4室0厅 7600元,4室0厅 ,南,100,7600,76.0 
111,湘云雅苑 ,湘云雅苑 4室0厅 7600元,4室0厅 ,南,100,7600,76.0 
112,天鸿君邑 ,天鸿君邑 1室1厅 4300元,1室1厅 ,南,56.56,4300,76.0 
113,绿地旭辉城 ,开发商精装修交付 视野开阔 大三房 近奥体三桥钱塘江,3室1厅 ,南 北,89,6800,76.4 
114,中海钱塘山水 ,杭二中　钱塘山水　精装三室　可看江　拎包入住,3室1厅 ,南,89,6800,76.4 
115,湘云雅苑 ,湘云雅苑 2室1厅 4800元,2室1厅 ,南,62.56,4800,76.7 
116,白金海岸 ,白金海岸 4室2厅 13000元,4室2厅 ,南 北,169,13000,76.9 
117,同人春江时代花园 ,同人春江时代花园 4室2厅 13000元,4室2厅 ,南 北,169,13000,76.9 
118,绿地旭辉城 ,奥体旁，精装修，视野开阔，办公专用，朝南采光好！,1室1厅 ,南,71.21,5500,77.2 
119,湘云雅苑 ,湘云雅苑 2室1厅 4800元,2室1厅 ,南,62,4800,77.4 
120,湘云雅苑 ,湘云雅苑 2室1厅 4800元,2室1厅 ,南,62,4800,77.4 
121,风雅钱塘 ,风雅钱塘 3室1厅 12800元,3室1厅 ,南,164.92,12800,77.6 
122,铂悦轩 ,铂悦轩 2室1厅 5800元,2室1厅 ,北,74.62,5800,77.7 
123,铂悦轩 ,铂悦轩 2室1厅 5800元,2室1厅 ,北,74.62,5800,77.7 
124,印月尚庭 ,印月尚庭 3室2厅 10500元,3室2厅 ,南 北,135,10500,77.8 
125,绿地旭辉城 ,绿地旭辉城 1室1厅 7000元,1室1厅 ,东北,90,7000,77.8 
126,绿地旭辉城 ,绿地旭辉城 1室1厅 7000元,1室1厅 ,东北,90,7000,77.8 
127,世茂之西湖 ,世茂之西湖 1室1厅 5000元,1室1厅 ,北,64,5000,78.1 
128,绿地旭辉城 ,一线江景房 视野开阔 精装修大三房 近奥体三桥钱塘江,3室2厅 ,南 北,89,7000,78.7 
129,中海钱塘山水 ,，精装自住，纯边套，户型方正.拎包入住,3室2厅 ,南,89,7000,78.7 
130,现代印象广场 ,现代印象广场 1室1厅 3000元,1室1厅 ,南,38,3000,78.9 
131,凯瑞金座 ,凯瑞金座 1室1厅 3500元,1室1厅 ,南,44.12,3500,79.3 
132,风尚蓝湾 ,风尚蓝湾 1室1厅 3500元,1室1厅 ,南,44,3500,79.5 
133,风尚蓝湾 ,风尚蓝湾 1室1厅 3500元,1室1厅 ,南,44,3500,79.5 
134,万科璞悦湾 ,万科璞悦湾 3室2厅 7000元,3室2厅 ,南,88,7000,79.5 
135,绿地旭辉城 ,绿地旭辉城 3室1厅 11000元,3室1厅 ,东南,138,11000,79.7 
136,凯瑞金座 ,凯瑞金座 1室0厅 3500元,1室0厅 ,南,43.9,3500,79.7 
137,湘云雅苑 ,湘云雅苑 2室1厅 4800元,2室1厅 ,南,60,4800,80.0 
138,彩虹城 ,彩虹城 4室1厅 12000元,4室1厅 ,南 北,150,12000,80.0 
139,万科逸天广场 ,万科逸天广场 1室1厅 3300元,1室1厅 ,南,41.15,3300,80.2 
140,凯瑞金座 ,房东说在这里待过的公司都越干越大了，无遮挡江景房,1室1厅 ,南,58.43,4700,80.4 
141,湘云雅苑 ,湘云雅苑 2室1厅 5000元,2室1厅 ,南,62,5000,80.6 
142,湘云雅苑 ,湘云雅苑 2室1厅 5000元,2室1厅 ,南,62,5000,80.6 
143,绿地旭辉城 ,绿地旭辉城 开发商精装修  一室一厅 价格包物业,1室1厅 ,南,71,5800,81.7 
144,绿地旭辉城 ,绿地旭辉城 开发商精装修  一室一厅 价格包物业,1室1厅 ,南,71,5800,81.7 
145,绿地旭辉城 ,一线江景房 视野开阔 精装修大三房 近奥体三桥钱塘江,3室2厅 ,南 北,88,7200,81.8 
146,绿地旭辉城 ,一线江景房 视野开阔 精装修大三房 近奥体三桥钱塘江,3室2厅 ,南 北,88,7200,81.8 
147,中兴花园百合苑 ,中兴花园百合苑 3室1厅 7000元,3室1厅 ,南,85,7000,82.4 
148,绿地旭辉城 ,绿地旭辉城 3室2厅 7300元,3室2厅 ,南,87.93,7300,83.0 
149,绿地旭辉城 ,绿地旭辉城 3室2厅 7300元,3室2厅 ,南,87.93,7300,83.0 
150,铂悦轩 ,江景写字楼 上下两层 可办公 可注册公司,1室0厅 ,北,138.48,11500,83.0 
151,铂悦轩 ,江景写字楼 上下两层 可办公 可注册公司,1室0厅 ,北,138.48,11500,83.0 
152,绿地旭辉城 ,绿地旭辉城 1室1厅 5000元,1室1厅 ,西,60,5000,83.3 
153,湘云雅苑 ,湘云雅苑 2室1厅 5000元,2室1厅 ,南,60,5000,83.3 
154,湘云雅苑 ,湘云雅苑 2室1厅 5000元,2室1厅 ,南,60,5000,83.3 
155,春波西苑 ,春波西苑 2室1厅 5000元,2室1厅 ,南,60,5000,83.3 
156,绿地旭辉城 ,绿地  稀  缺  平层户型朝奥体，景观好,1室1厅 ,东,59.94,5000,83.4 
157,绿地旭辉城 ,绿地旭辉城 1室1厅 5000元,1室1厅 ,东南,59.93,5000,83.4 
158,兴耀鑫都汇 ,兴耀鑫都汇 1室1厅 4100元,1室1厅 ,西,49.14,4100,83.4 
159,东和时代 ,东和时代 1室1厅 4600元,1室1厅 ,西,55,4600,83.6 
160,现代印象广场 ,现代印象广场 1室1厅 3200元,1室1厅 ,南,38,3200,84.2 
161,绿地旭辉城 ,绿地旭辉城 3室1厅 7500元,3室1厅 ,东南,89,7500,84.3 
162,绿地旭辉城 ,转交边套全景落地窗，可看钱塘江灯光秀和奥体莲花,2室2厅 ,东北,89,7500,84.3 
163,东和时代 ,东和时代酒店式公寓 生活方式 交通便利,1室1厅 ,南 北,71,6000,84.5 
164,星光国际公馆 ,星光国际公馆 1室1厅 4500元,1室1厅 ,南,53,4500,84.9 
165,东和时代 ,东和时代 1室1厅 4600元,1室1厅 ,西,54.12,4600,85.0 
166,风尚蓝湾 ,风尚蓝湾 1室0厅 3500元,1室0厅 ,北,41,3500,85.4 
167,绿地旭辉城 ,绿地旭辉城 4室1厅 7600元,4室1厅 ,南,89,7600,85.4 
168,迎春南苑 ,迎春南苑 4室1厅 8800元,4室1厅 ,南,103,8800,85.4 
169,兴耀鑫都汇 ,兴耀鑫都汇 1室1厅 4200元,1室1厅 ,南,49,4200,85.7 
170,兴耀鑫都汇 ,兴耀鑫都汇 1室1厅 4200元,1室1厅 ,南,49,4200,85.7 
171,绿地旭辉城 ,一线江景房 视野开阔 精装修大三房 近奥体三桥钱塘江,3室2厅 ,南 北,138,12000,87.0 
172,兴耀鑫都汇 ,兴耀鑫都汇 2室2厅 6000元,2室2厅 ,西南,69,6000,87.0 
173,绿地旭辉城 ,一线江景房 视野开阔 精装修大三房 近奥体三桥钱塘江,3室2厅 ,南 北,138,12000,87.0 
174,中奥江锦国际 ,中奥江锦国际 1室1厅 4700元,1室1厅 ,南,54,4700,87.0 
175,世茂之西湖 ,茂御居精装一室 中间层 江景好 拎包入住 提前约随时看,1室1厅 ,北,48,4200,87.5 
176,缤纷东院 ,缤纷东院2居室,2室1厅 ,南,60,5290,88.2 
177,贺田尚城 ,中控 海创 东方通信园 家电齐全 有阳台 干净清爽,2室1厅 ,南,52.42,4700,89.7 
178,中海钱塘山水 ,中海钱塘山水 4室2厅 8000元,4室2厅 ,东南,89,8000,89.9 
179,绿地旭辉城 ,绿地旭辉城 1室1厅 4500元,1室1厅 ,南,50,4500,90.0 
180,绿地旭辉城 ,绿地旭辉城 1室1厅 4500元,1室1厅 ,南,50,4500,90.0 
181,观邸国际 ,观邸国际 3室2厅 12000元,3室2厅 ,南,132,12000,90.9 
182,欣盛东方郡东区 ,欣盛东方郡东区 3室2厅 8000元,3室2厅 ,南,88,8000,90.9 
183,欣盛东方郡东区 ,欣盛东方郡东区 3室2厅 8000元,3室2厅 ,南,88,8000,90.9 
184,绿地旭辉城 ,绿地旭辉城 开发商统一精装 单身公寓 价格包网包物业,1室1厅 ,南,46,4200,91.3 
185,绿地旭辉城 ,绿地旭辉城 1室1厅 4200元,1室1厅 ,东南,46,4200,91.3 
186,世茂之西湖 ,世茂之西湖 1室1厅 4300元,1室1厅 ,西南,47,4300,91.5 
187,世茂之西湖 ,精装酒店式公寓，家电齐全，随时入住,1室1厅 ,南,49.01,4500,91.8 
188,世茂之西湖 ,茂御居精装1室 配套全 小区好 住的舒心 随时可看~,1室1厅 ,南,46.7,4300,92.1 
189,东和时代 ,东和时代 1室1厅 4700元,1室1厅 ,东,51,4700,92.2 
190,绿地旭辉城 ,一线江景房 视野开阔 精装修大三房 近奥体三桥钱塘江,3室2厅 ,南,140,13000,92.9 
191,贺田尚城 ,钱江湾 贺田尚城带地暖和全空调  近百万装修 30方花园,2室2厅 ,南 北,89,8333,93.6 
192,贺田尚城 ,钱江湾 贺田尚城带地暖和全空调  近百万装修 30方花园,2室2厅 ,南 北,89,8333,93.6 
193,世茂之西湖 ,世茂之西湖 1室1厅 6000元,1室1厅 ,北,64,6000,93.8 
194,金铂湾 ,地铁口金铂湾 一室一厅 朝南一线江景，看房有密码方便,1室1厅 ,南,52,4900,94.2 
195,金铂湾 ,地铁口金铂湾 一室一厅 朝南一线江景，看房有密码方便,1室1厅 ,南,52,4900,94.2 
196,绿城明月江南 ,绿城明月江南 3室2厅 8500元,3室2厅 ,南,90,8500,94.4 
197,金铂湾 ,整租 &middot; 金铂湾 一室一厅  朝北 一线江景,1室1厅 ,北,68.8,6500,94.5 
198,玲珑府 ,玲珑府 4室2厅 7700元,4室2厅 ,南 北,81.15,7700,94.9 
199,绿地旭辉城 ,绿地旭辉城 3室2厅 8500元,3室2厅 ,南,89,8500,95.5 
200,寰宇天下 ,寰宇天下 江陵站 星耀城 一线江景 南北通透,2室1厅 ,南 北,89,8500,95.5 
201,汉峰峰公馆 ,汉峰峰公馆 2室1厅 6500元,2室1厅 ,西,68,6500,95.6 
202,世茂之西湖 ,一桥 茂御居 精装一室 上档次 干净清爽,1室1厅 ,南,47,4500,95.7 
203,金铂湾 ,金铂湾 1室1厅 6000元,1室1厅 ,南,62.39,6000,96.2 
204,东和时代 ,东和时代 1室1厅 5300元,1室1厅 ,东南,55,5300,96.4 
205,世茂之西湖 ,茂御居精装好房 楼层高  家具家电全配 江景公寓,1室1厅 ,西,47,4600,97.9 
206,缤纷小区 ,缤纷小区4居室 05卧,4室1厅 ,南,23.4,2330,99.6 
207,积家 ,积家loft一室一厅一厨二卫带飘窗层高4.79可拎包入住,1室1厅 ,东,40.07,4000,99.8 
208,绿地旭辉城 ,绿地旭辉城 3室1厅 13800元,3室1厅 ,南 北,138,13800,100.0 
209,绿地旭辉城 ,绿地旭辉城 开发商精装修 近奥体三桥钱塘江 看房方便,1室1厅 ,东北,60,6000,100.0 
210,绿地旭辉城 ,房子开发商精装，奥体板块，家具家电全配！看房方便,1室1厅 ,东,60,6000,100.0 
211,金龙大厦 ,金龙大厦 1室0厅 4200元,1室0厅 ,南,42,4200,100.0 
212,绿地旭辉城 ,房子开发商精装，奥体板块，家具家电全配！看房方便,1室1厅 ,东,60,6000,100.0 
213,绿地旭辉城 ,绿地旭辉城 1室1厅 6000元,1室1厅 ,东,60,6000,100.0 
214,绿地旭辉城 ,绿地旭辉城 1室1厅 6000元,1室1厅 ,东,59.93,6000,100.1 
215,绿地旭辉城 ,绿地旭辉城 1室1厅 6000元,1室1厅 ,东,59.93,6000,100.1 
216,绿地旭辉城 ,绿地旭辉城 3室2厅 9000元,3室2厅 ,南,89,9000,101.1 
217,世茂之西湖 ,世茂之西湖 3室1厅 9000元,3室1厅 ,南 北,89,9000,101.1 
218,世茂之西湖 ,世茂之西湖 3室1厅 9000元,3室1厅 ,南 北,89,9000,101.1 
219,水印城 ,水印城LOFT中装三房。仅此一套,2室1厅 ,东南,62.19,6300,101.3 
220,水印城 ,水印城LOFT中装三房。仅此一套,2室1厅 ,东南,62.19,6300,101.3 
221,钱塘春晓大厦 ,钱塘春晓大厦 1室2厅 5800元,1室2厅 ,南,57.18,5800,101.4 
222,江滨澜廷 ,江滨澜廷 1室1厅 5700元,1室1厅 ,西 北,56,5700,101.8 
223,世茂之西湖 ,世茂之西湖 1室1厅 4800元,1室1厅 ,北,47,4800,102.1 
224,东方商务会馆 ,东方商务会馆 1室1厅 4000元,1室1厅 ,西,39,4000,102.6 
225,世茂之西湖 ,精装修一居室，之前没有出租过，干净清爽,1室1厅 ,南,48.75,5000,102.6 
226,金铂湾 ,金铂湾 1室1厅 7000元,1室1厅 ,西北,68,7000,102.9 
227,寰宇天下 ,寰宇天下 2室1厅 9400元,2室1厅 ,东南,89.8,9400,104.7 
228,玲珑府 ,玲珑府 3室1厅 5500元,3室1厅 ,西南,52,5500,105.8 
229,世茂之西湖 ,世茂之西湖 1室1厅 5000元,1室1厅 ,西,47,5000,106.4 
230,世茂之西湖 ,茂御居纯江景房 楼层采光好 全新装修 无忧入住,1室1厅 ,西,47,5000,106.4 
231,世茂之西湖 ,世茂之西湖 1室1厅 5000元,1室1厅 ,北,47,5000,106.4 
232,兴耀鑫都汇 ,兴耀鑫都汇 2室1厅 5300元,2室1厅 ,南,49.8,5300,106.4 
233,恒鼎博邑郡 ,恒鼎博邑郡 1室2厅 5000元,1室2厅 ,西,46.97,5000,106.5 
234,江滨澜廷 ,江滨澜廷 1室1厅 6000元,1室1厅 ,北,56.34,6000,106.5 
235,金铂湾 ,金铂湾 1室1厅 5500元,1室1厅 ,西北,51.58,5500,106.6 
236,融创杭州印 ,融信 开发商统一精装修 大平层公馆 品质好,1室1厅 ,西,50.04,5400,107.9 
237,世茂之西湖 ,全江景无遮挡近4号线地铁超大电视冰箱给你个舒适的家,1室1厅 ,北,47.24,5100,108.0 
238,金铂湾 ,金铂湾 1室1厅 6500元,1室1厅 ,东,60,6500,108.3 
239,江滨澜廷 ,江滨澜廷 2室1厅 6500元,2室1厅 ,东南,60,6500,108.3 
240,金铂湾 ,金铂湾 1室1厅 6500元,1室1厅 ,南,60,6500,108.3 
241,江滨澜廷 ,江滨澜廷 1室2厅 6500元,1室2厅 ,北,60,6500,108.3 
242,绿地旭辉城 ,精装公寓 一线奥体 濒临钱塘江，看房方便！,1室1厅 ,东,59.93,6500,108.5 
243,凯瑞金座 ,凯瑞金座 1室1厅 4800元,1室1厅 ,南,44.12,4800,108.8 
244,凯瑞金座 ,凯瑞金座 1室1厅 4800元,1室1厅 ,南,44.12,4800,108.8 
245,江滨澜廷 ,江滨澜廷 1室2厅 6800元,1室2厅 ,南,62,6800,109.7 
246,钱塘春晓大厦 ,钱塘春晓大厦 1室1厅 5500元,1室1厅 ,北,50,5500,110.0 
247,水印城 ,水印城 1室1厅 5000元,1室1厅 ,南 北,45,5000,111.1 
248,积家 ,积家 1室1厅 4800元,1室1厅 ,南,43,4800,111.6 
249,融创杭州印 ,融信 开发商统一精装修 大平层公馆 品质好,1室1厅 ,东,50,5600,112.0 
250,江滨澜廷 ,江滨澜廷 1室1厅 6500元,1室1厅 ,北,58,6500,112.1 
251,世茂之西湖 ,世茂之西湖 1室1厅 5500元,1室1厅 ,南,49,5500,112.2 
252,积家 ,积家 1室1厅 4500元,1室1厅 ,东,40.07,4500,112.3 
253,绿地旭辉城 ,绿地旭辉城 开发商统一精装修 近奥体三桥钱塘江,3室2厅 ,南,89,10000,112.4 
254,寰宇天下 ,寰宇天下 2室2厅 10000元,2室2厅 ,南,89,10000,112.4 
255,金铂湾 ,金铂湾 1室2厅 5200元,1室2厅 ,南,46.16,5200,112.7 
256,汉峰峰公馆 ,汉峰峰公馆 1室2厅 5800元,1室2厅 ,南,51,5800,113.7 
257,融创杭州印 ,融创杭州印 1室1厅 5500元,1室1厅 ,西,48,5500,114.6 
258,积家 ,积家 1室2厅 4600元,1室2厅 ,南,40.07,4600,114.8 
259,融创杭州印 ,江边公寓，精装修，最美不是江景，而是看江的你,1室1厅 ,东,47.78,5500,115.1 
260,绿城明月江南 ,绿城明月江南 3室2厅 16000元,3室2厅 ,南,136,16000,117.6 
261,绿城明月江南 ,绿城明月江南 3室2厅 16000元,3室2厅 ,南,136,16000,117.6 
262,汉峰峰公馆 ,汉峰峰公馆 1室1厅 6000元,1室1厅 ,南,50.66,6000,118.4 
