"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"gdp",0.000204049901317032,0,0.000146915928948263,0.000120086077816129,0.000256671304439607,0,0.000145703878981514,0.00019228051854475,0.000220295912568388,0.000274133090672948,0.000574366868639418,5.51838185452525e-05,0.000149742934195614,0,0,0.000114408940350687
"gold",0.00027500358982508,0,0.000297003877011086,0,0,0,0,0,0,0,0,0,0.000201812616369529,0.00092404840589903,0,7.7096016958221e-05
"goldmoney",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hunt",0.00196656833824975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"h股",0.00147492625368732,0,0,0,0.000570857713714857,0,0,0,0,0,0,0,0,0,0,0
"iau",0.00262209111766634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ilo",0.000491642084562439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000137829642561794
"isaac",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ishares",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kambalda",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kdj",0.000555614474854669,0.00125632321984824,0.000360038179705825,0,0,0.000190469636267595,0.000714135761045432,0,0,0.000895735673860816,0.000281513384353434,0.000270471442007434,0.000244644102866857,0.00046673451618436,0,0
"macd",0.00188908921450587,0.00262685764150087,0.00108011453911748,0,0,0.000857113363204177,0.00166631677577267,0,0,0.00156753742925643,0.000844540153060302,0.00198345724138785,0.00122322051433428,0.000653428322658104,0,0
"macleod",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"malmstrom",0.00196656833824975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mks",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nafta",0.000408099802634065,0.000419441636461692,0.000146915928948263,0,0,0,0.000145703878981514,9.61402592723752e-05,0,0,0,0.00022073527418101,0.00109811485076784,0,9.47466041042903e-05,7.62726269004583e-05
"nfib",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ppi",0.000136033267544688,0.000699069394102819,0.00044074778684479,0.000360258233448386,0.000434366822897796,0.000349750701639475,0,0,0,0,0,0.000110367637090505,0,0,9.47466041042903e-05,3.81363134502291e-05
"rsi",0.000333368684912801,0.000685267210826314,0.000360038179705825,0,0,0.000476174090668987,0.000595113134204527,0,0,0.000111966959232602,0.000187675589568956,0.000721257178686491,0.000244644102866857,0.000186693806473744,0,0
"sto",0.000491642084562439,0.00151591712986357,0,0,0,0.000280898876404494,0.000877654906090925,0,0,0.000825627476882431,0.000415167450871852,0.000132961042414573,0.000481058328322309,0,0,0
"strategy",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"street",0.00262209111766634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"trust",0.000327761389708292,0,0.000353982300884956,0,0,0,0,0,0,0,0,0,0.000240529164161155,0.00110132158590308,0,0
"usd",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"wgc",0.000491642084562439,0,0,0,0,0,0.00157977883096367,0,0,0,0,0,0,0,0,0
"wisdomtree",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yuan",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zdmj",0.000491642084562439,0.000505305709954523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zew",0.000983284169124877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000137829642561794
"爱尔兰",0.00245821042281219,0,0,0,0,0,0,0,0,0,0,0.000398883127243718,0,0,0,0
"安防",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"安全",0.000327761389708292,0,0,0.000241114915368665,0.000190285904571619,0,0,0,0.000106157112526539,0,0,0,0.000120264582080577,0.000137665198237885,0.000342426663622874,0.000183772856749058
"按照",3.1570809233431e-05,0,0,3.71596813314165e-05,5.49864643763082e-05,5.41137859388752e-05,3.38151795580825e-05,6.69371361856831e-05,4.09012904336297e-05,6.36212278541598e-05,7.99799659323536e-05,5.1228580758515e-05,9.26735191544899e-05,2.65205228444928e-05,2.1988937101061e-05,7.08058726242381e-05
"澳元",0.000111122894970934,0,0.000600063632843042,9.80959500090617e-05,3.22568814572398e-05,9.52348181337974e-05,0.000476090507363621,0,0,0,0.000375351179137912,0,8.15480342889522e-05,0,0.000154793266776084,6.23056055419129e-05
"把握",0.000222245789941867,0.000456844807217543,0,6.53973000060412e-05,0.000193541288743439,0,0.000238045253681811,7.85350828251839e-05,7.19821555321272e-05,0.000335900877697806,0,0,8.15480342889522e-05,0,0,0.000218069619396695
"白磷",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"白银",0.000122070671113053,0.000109780331942121,6.59181624010488e-05,1.79600529279031e-05,8.85870361937886e-06,3.92314906143883e-05,0.000179779436248253,3.23521210533292e-05,0,3.07494730487059e-05,2.57706627156052e-05,3.71397703994741e-05,0.000123175399676043,5.1271698453459e-05,8.50217138605013e-05,2.99442171616452e-05
"百点",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"百分比",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"摆脱",0.000136033267544688,0,0.000146915928948263,8.00573852107525e-05,7.89757859814174e-05,0,0.000145703878981514,0.000288420777817126,0,0,0.000229746747455767,0.000110367637090505,0,0.000228544878457513,0,0
"板上钉钉",0.00027500358982508,0.000282646438455893,0,0,0,0.000707052769008134,0,0,0,0,0,0.000446236379500768,0.000201812616369529,0,0,0
"版本",0.000655522779416585,0.000336870473303015,0,0,0,0,0,0,0,0,0,0,0.000240529164161155,0,0,9.18864283745291e-05
"包括",6.31416184668619e-05,3.24482192929755e-05,6.81929479442109e-05,0.000139348804992812,0.000284096732610926,5.41137859388752e-05,6.76303591161649e-05,0.000267748544742732,4.09012904336297e-05,0,2.66599886441179e-05,0.000153685742275545,0,0.000132602614222464,0.000153922559707427,0.000212417617872714
"保护",0.000195451504087577,0,0,0.000115025806813174,0.000340415321233736,0,0,0.000138133550838823,0,0,0,0.00031715066558766,0.0001434329618692,0,0.000136131158308686,0
"保守",0.00023189732862649,0,0,6.82373293764211e-05,6.73154226382591e-05,0,0,0,0,0.000233658768044723,0,0,0,0,0.00016151552325977,0.000195034112737137
"保卫战",0.000395778023480636,0,0,0.000232920624900308,0.000114886898781164,0,0,0,0,0,0,0,0,0,0,0
"报道",0.000252566473867448,6.48964385859511e-05,6.81929479442109e-05,5.57395219971247e-05,4.58220536469235e-05,0,6.76303591161649e-05,0.000133874272371366,0.000102253226084074,0,7.99799659323536e-05,0.000153685742275545,2.31683797886225e-05,0.000106082091377971,0.000197900433909549,4.42536703901488e-05
"报告",0.000198364840558712,9.40974273789605e-05,8.2397703001311e-05,2.24500661598788e-05,0.000212608886865092,0.000117694471843165,4.90307553404326e-05,0.000183328685968865,0,1.53747365243529e-05,9.01973195046181e-05,0.000148559081597896,3.35932908207389e-05,0.000358901889174213,0.00031883142697688,0.000106943632720162
"报社",0.000163880694854146,0,0.000176991150442478,0.000241114915368665,4.75714761429047e-05,0,0.000526592943654555,0.00104239054899236,0,0,0,0,0,0,0.000570711106038123,9.18864283745291e-05
"报收",0.00158311209392255,0,0,0.000349380937350462,0,0,0,0,0,0,0,0.000963317710123193,0,0,0,0
"报于",0.00245821042281219,0,0,0,0,0,0,0,0,0,0,0.00199441563621859,0,0,0,0
"爆发",3.1570809233431e-05,3.24482192929755e-05,0,9.28992033285412e-06,3.66576429175388e-05,0.000135284464847188,0.00013526071823233,0.000156186651099927,2.04506452168148e-05,3.18106139270799e-05,2.66599886441179e-05,2.56142903792575e-05,4.63367595772449e-05,0,2.1988937101061e-05,4.42536703901488e-05
"北爱尔兰",0.000983284169124877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000137829642561794
"北美",0.000327761389708292,0.000168435236651508,0.000353982300884956,0.00101268264454839,0,0,0,0,0.000106157112526539,0,0.000415167450871852,0,0.000360793746241732,0,0,4.59432141872645e-05
"北美自由贸易协定",0.000491642084562439,0.000336870473303015,0,4.82229830737329e-05,0,0,0,0,0,0,0,0.000265922084829145,0.000360793746241732,0.000137665198237885,0.000114142221207625,0.000137829642561794
"背离",0.000390903008175154,0,0,5.75129034065871e-05,0.000113471773744579,0.00033501266234337,0,0,0,0,0,0.00015857533279383,0.000286865923738399,0,0,5.47939482652943e-05
"备选",0.000791556046961273,0,0,0,0,0,0.000847827803854255,0,0,0,0,0,0,0.000664933232180298,0,0
"本月",1.52588338891317e-05,1.56829045631601e-05,4.94386218007866e-05,4.49001323197577e-06,4.42935180968943e-06,5.23086541525177e-05,3.26871702269551e-05,4.31361614044389e-05,0,1.53747365243529e-05,1.28853313578026e-05,3.71397703994741e-05,1.1197763606913e-05,1.28179246133647e-05,4.25108569302506e-05,4.27774530880646e-06
"本周",0.000122070671113053,1.56829045631601e-05,9.88772436015732e-05,0.000112250330799394,0.00023032629410385,0.000117694471843165,0.000163435851134775,0.000140192524564427,0,0.000384368413108824,9.01973195046181e-05,0.000210458698930353,0.000201559744924434,0.000217904718427201,6.3766285395376e-05,5.13329437056775e-05
"逼近",0.000408099802634065,0.000279627757641128,0,4.00286926053763e-05,7.89757859814174e-05,0,0.000145703878981514,0.000288420777817126,0,0.000548266181345897,0.000344620121183651,0,0.000399314491188304,0,0,0
"笔者",0.000222245789941867,0.000114211201804386,0,0.000196191900018123,0,9.52348181337974e-05,0,0,0,0.000111966959232602,9.3837794784478e-05,0.000270471442007434,0.000407740171444761,0.000373387612947488,0,9.34584083128693e-05
"必定会",0.000655522779416585,0,0,0,0,0.000280898876404494,0.00035106196243637,0,0,0.000660501981505945,0,0,0,0,0,0
"必将",0.00023189732862649,0,0,6.82373293764211e-05,0,0,0,0,0,0,0.000195825837154559,0.000188144860959825,0,0,0.00016151552325977,0.000130022741824758
"必然",0.000327761389708292,0.000168435236651508,0,0.000385783864589864,0.000237857380714524,0.000140449438202247,0,0,0,0,0,0,0.000120264582080577,0,0.000114142221207625,4.59432141872645e-05
"必要",8.85887219539008e-05,0,0.000382703278840852,2.60678199046488e-05,0.000154293815145627,0.000303690101889159,0,6.26092635351752e-05,5.73851784886096e-05,0,0,7.18745354823431e-05,0,0.000148834906762859,6.17016757633493e-05,2.48354489278096e-05
"避免",0.000111122894970934,0.000114211201804386,0,6.53973000060412e-05,0.000225798170200679,0,0.000119022626840905,0.000235605248475552,0,0.000111966959232602,9.3837794784478e-05,0,0,0,7.73966333880422e-05,3.11528027709564e-05
"避险",7.62941694456583e-05,0.000235243568447401,1.64795406002622e-05,8.98002646395153e-06,1.77174072387577e-05,0.000183080289533812,0.00019612302136173,6.47042421066584e-05,0,0.000107623155670471,2.57706627156052e-05,9.90393877319308e-05,0.000134373163282956,0.000102543396906918,5.31385711628133e-05,2.99442171616452e-05
"边境",0.00237466814088382,0,0,0,0,0,0,0,0,0,0,0,0.000290443475559693,0,0,0.000110954585099644
"编制",0.00158311209392255,0,0.000427440265359087,0,0,0,0,0.000279712473856711,0,0,0,0,0,0,0,0
"变化",1.52588338891317e-05,7.84145228158004e-05,1.64795406002622e-05,3.59201058558061e-05,9.3016388003478e-05,1.30771635381294e-05,3.26871702269551e-05,1.07840403511097e-05,2.96526765577966e-05,3.07494730487059e-05,0.000154623976293631,0,5.59888180345649e-05,6.40896230668237e-05,2.12554284651253e-05,6.41661796320969e-05
"变弱",0.000491642084562439,0,0,0,0,0,0.000526592943654555,0,0,0,0,0,0,0,0,0
"标准",0.000163880694854146,0,0,9.64459661474659e-05,0.000713572142143571,0,0,0.000115821172110262,0.000212314225053079,0,0,0.000398883127243718,0,0.000275330396475771,0,9.18864283745291e-05
"表明",4.5776501667395e-05,1.56829045631601e-05,6.59181624010488e-05,2.24500661598788e-05,0,6.53858176906471e-05,8.17179255673876e-05,0.000172544645617756,9.88422551926555e-06,1.53747365243529e-05,7.73119881468155e-05,2.47598469329827e-05,8.95821088553039e-05,0.000102543396906918,0.000233809713116378,3.84997077792582e-05
"表现",0.000152588338891317,7.84145228158004e-05,8.2397703001311e-05,9.42902778714911e-05,0.000168315368768198,0.000104617308305035,0.000147092266021298,8.62723228088779e-05,5.93053531155933e-05,0,0.000219050633082644,7.42795407989481e-05,7.83843452483909e-05,0.000358901889174213,0.000212554284651253,0.000119776868646581
"表现出",0.000327761389708292,0,0.000353982300884956,0.000289337898442398,9.51429522858094e-05,0.000280898876404494,0,0.000231642344220524,0,0.000165125495376486,0.000138389150290617,0,0,0,0,0
"并不大",0.000327761389708292,0.000336870473303015,0,0,0,0,0,0,0,0,0,0,0.000240529164161155,0,0.000228284442415249,0
"并称",0.00055000717965016,0,0,0.000161843266153507,0.000159656715200289,0,0,0,0.000178139268058666,0,0,0,0,0.000231012101474757,0,0
"并持",0.000327761389708292,0,0,0,0,0,0,0.000463284688441047,0,0,0.000276778300581234,0.000265922084829145,0,0,0,0
"并且",4.5776501667395e-05,1.56829045631601e-05,3.29590812005244e-05,3.59201058558061e-05,3.54348144775154e-05,1.30771635381294e-05,1.63435851134775e-05,3.23521210533292e-05,3.95369020770622e-05,7.68736826217647e-05,2.57706627156052e-05,1.23799234664914e-05,1.1197763606913e-05,0,4.25108569302506e-05,4.70551983968711e-05
"并未",0.000157854046167155,0.000162241096464878,3.40964739721055e-05,4.64496016642706e-05,2.74932321881541e-05,0.000189398250786063,0.00013526071823233,0,4.09012904336297e-05,0.000254484911416639,7.99799659323536e-05,7.68428711377726e-05,0,0.000132602614222464,4.39778742021221e-05,5.31044044681786e-05
"并行",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"波动",0.000106811837223922,9.40974273789605e-05,0.000164795406002622,1.79600529279031e-05,6.64402771453414e-05,5.23086541525177e-05,4.90307553404326e-05,5.39202017555487e-05,0,9.22484191461177e-05,3.86559940734077e-05,4.95196938659654e-05,5.59888180345649e-05,5.1271698453459e-05,6.3766285395376e-05,4.70551983968711e-05
"波动性",0.000327761389708292,0,0,0,0,0,0,0,0,0,0,0.000797766254487435,0.000240529164161155,0,0,0.000183772856749058
"波幅",0.000927589314505961,0,0,0,0,0.000198741221808826,0,0,0,0.000233658768044723,0,0.00169330374863842,0,0.000194801417852264,0,6.50113709123791e-05
"博斯蒂克",0.00055000717965016,0,0.000594007754022173,0,0,0,0,0,0,0,0,0,0,0.000462024202949515,0.000191538854595667,0.000231288050874663
"不变",3.1570809233431e-05,9.73446578789267e-05,0.000136385895888422,2.78697609985624e-05,0.000137466160940771,2.70568929694376e-05,6.76303591161649e-05,0,6.13519356504445e-05,6.36212278541598e-05,5.33199772882358e-05,0.00010245716151703,0.000162178658520357,0,2.1988937101061e-05,2.65522022340893e-05
"不出",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"不大",0.000544133070178753,0,0.000146915928948263,0,0,0,0.000728519394907572,0,0,0.000548266181345897,0.000459493494911535,0.000662205822543029,9.98286227970761e-05,0.000114272439228757,0,3.81363134502291e-05
"不得不",0.000163880694854146,0,0,0.000144668949221199,4.75714761429047e-05,0.000421348314606742,0,0.000347463516330785,0.000212314225053079,0,0,0,0,0,0.000114142221207625,0.000183772856749058
"不管",0.000136033267544688,0.000279627757641128,0,8.00573852107525e-05,0.000118463678972126,0.000233167134426317,0,0,0,0.000274133090672948,0.000114873373727884,0,0,0.000228544878457513,0,3.81363134502291e-05
"不好",0.000163880694854146,0.000168435236651508,0.000176991150442478,4.82229830737329e-05,0,0,0.000175530981218185,0,0,0,0,0.000132961042414573,0,0,0.000114142221207625,0.000275659285123587
"不佳",0.000111122894970934,0,0.000120012726568608,0,0,0.000190469636267595,0.000119022626840905,0.000157070165650368,0,0,0.000187675589568956,9.01571473358114e-05,8.15480342889522e-05,0.000186693806473744,0,3.11528027709564e-05
"不可盲目",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"不利于",0.00023189732862649,0,0.000500898229833219,6.82373293764211e-05,0,0,0,0.000163891301746449,0,0,0.000195825837154559,0,0,0.000194801417852264,0,0
"不能",3.1570809233431e-05,0.000162241096464878,3.40964739721055e-05,6.50294423299788e-05,0.000128301750211386,0.00010822757187775,0.000101445538674247,0.000133874272371366,0.000143154516517704,0,0,0.00010245716151703,0.00018534703830898,0.000159123137066957,4.39778742021221e-05,0.000212417617872714
"不破",0.000555614474854669,0.000114211201804386,0.000240025453137217,0,0,0.000190469636267595,0.000238045253681811,0,0,0.000783768714628214,0.000187675589568956,0.000360628589343246,0.000407740171444761,9.33469032368719e-05,0,0
"不强",0.00023189732862649,0,0,0,0,0.000397482443617653,0.000248382920708942,0,0,0.000233658768044723,0.000195825837154559,0,0,0,0,6.50113709123791e-05
"不确定性",3.1570809233431e-05,0,0.000170482369860527,2.78697609985624e-05,4.58220536469235e-05,2.70568929694376e-05,0.00013526071823233,6.69371361856831e-05,0,6.36212278541598e-05,5.33199772882358e-05,5.1228580758515e-05,6.95051393658674e-05,5.30410456889856e-05,2.1988937101061e-05,5.31044044681786e-05
"不容",0.000395778023480636,0,0.000854880530718175,0,0,0,0.000423913901927127,0,0,0,0,0,0,0,0,0
"不是",3.05176677782633e-05,9.40974273789605e-05,4.94386218007866e-05,0.00011674034403137,0.000110733795242236,3.92314906143883e-05,1.63435851134775e-05,7.54882824577681e-05,4.94211275963277e-05,0.000122997892194824,2.57706627156052e-05,6.18996173324567e-05,8.95821088553039e-05,0,4.25108569302506e-05,7.27216702497099e-05
"不属",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"不算",0.00027500358982508,0,0,0,0.000239485072800434,0,0,0,0,0,0,0,0,0.000231012101474757,0.000191538854595667,7.7096016958221e-05
"不太可能",0.000327761389708292,0,0,0,0,0,0.00035106196243637,0,0,0,0.000276778300581234,0,0.000240529164161155,0,0,0
"不同",0.000136033267544688,6.99069394102819e-05,0,0.000160114770421505,0.000217183411448898,5.82917836065792e-05,0,0.00019228051854475,0.000220295912568388,6.85332726682371e-05,0,5.51838185452525e-05,0,0.000171408658843135,0.000142119906156435,0.000266954194151604
"不锈钢",0.000655522779416585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"不言而喻",0.000491642084562439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000137829642561794
"不要追涨",0.000983284169124877,0,0,0,0,0.000842696629213483,0,0,0,0,0,0,0,0,0,0
"不一",0.000390903008175154,0,0,5.75129034065871e-05,5.67358868722894e-05,0,0,0.000138133550838823,0,0,0.000165049138934735,0,0,0.000164185721082378,0,5.47939482652943e-05
"不再",0.000136033267544688,0,0,0.000120086077816129,0.000118463678972126,0,0,0.000480701296361876,0.000704946920218843,0.000137066545336474,0,0,0,0.000114272439228757,9.47466041042903e-05,0.000266954194151604
"不至于",0.000395778023480636,0,0,0.000116460312450154,0,0,0,0,0,0,0,0,0,0,0,0.000110954585099644
"布局",9.155300333479e-05,7.84145228158004e-05,0.000115356784201835,1.34700396959273e-05,4.42935180968943e-05,0,0.000179779436248253,1.07840403511097e-05,3.95369020770622e-05,9.22484191461177e-05,6.44266567890129e-05,6.18996173324567e-05,8.95821088553039e-05,7.69075476801884e-05,3.1883142697688e-05,4.70551983968711e-05
"布林",0.000327761389708292,0.00101061141990905,0.000353982300884956,0,0,0.000140449438202247,0.000526592943654555,0,0,0.000495376486129458,0,0,0.000240529164161155,0.000137665198237885,0,0
"布鲁塞尔",0.000655522779416585,0,0,0,0,0,0,0.000463284688441047,0,0,0,0.000265922084829145,0,0,0,9.18864283745291e-05
"布油",0.000327761389708292,0,0,9.64459661474659e-05,0,0,0,0,0,0,0,0,0,0,0.000228284442415249,9.18864283745291e-05
"步伐",8.85887219539008e-05,0,9.56758197102129e-05,5.21356398092977e-05,0,7.59225254722897e-05,0.000189772996792243,6.26092635351752e-05,0,0.000357046487029526,7.48087989707588e-05,7.18745354823431e-05,0.000130022460941119,0.000297669813525717,0,0
"部署",0.000395778023480636,0,0,0,0.000344660696343491,0,0,0,0,0,0,0.000321105903374398,0,0,0,0
"财经",9.81842942834834e-05,0,0.000106039037826162,7.22284520082239e-05,1.42505248018129e-05,4.20730732947904e-05,0.000210328440834761,0.000346954229625791,0,4.9465039937072e-05,0,7.96596946839271e-05,7.2052984211403e-05,4.12390255863034e-05,0.000239347331698705,2.75255243828823e-05
"财经网",0.000983284169124877,0,0,0,4.75714761429047e-05,0,0.000175530981218185,0.00162149640954366,0,0,0.000138389150290617,0.000132961042414573,0,0,0.000456568884830499,0.000918864283745291
"财政",0.000163880694854146,0,0,0.000723344746105994,0.000142714428428714,0,0,0,0,0,0.000138389150290617,0.000930727296902008,0,0.000275330396475771,0.000456568884830499,0.000137829642561794
"采取",3.1570809233431e-05,0,3.40964739721055e-05,4.64496016642706e-05,0.000128301750211386,0.000135284464847188,3.38151795580825e-05,0,2.04506452168148e-05,6.36212278541598e-05,7.99799659323536e-05,5.1228580758515e-05,4.63367595772449e-05,5.30410456889856e-05,2.1988937101061e-05,3.54029363121191e-05
"参考",0.000204049901317032,0.00034953469705141,0.000146915928948263,0,9.87197324767717e-05,0.000174875350819738,0,0,0,0.000205599818004711,0.000172310060591826,0.00022073527418101,0.000299485868391228,0.000399953537300648,4.73733020521452e-05,5.72044701753437e-05
"参与",0.000245460735708709,0,0,0.000130011213614803,8.55031488108771e-05,8.41461465895809e-05,0,6.93908459251582e-05,0.000127201818199112,4.9465039937072e-05,8.29117857345441e-05,0.000159319389367854,0.00025218544473991,8.24780511726068e-05,0.000170962379784789,0.000110102097531529
"仓位",0.000544133070178753,0,0,0,0.000157951571962835,0.000116583567213158,0.000291407757963029,0.00019228051854475,0,0.000137066545336474,0.000114873373727884,0,0.000299485868391228,0,0,7.62726269004583e-05
"操作",0.000228882508336975,0.000282292282136882,0.00014831586540236,2.24500661598788e-05,2.65761108581366e-05,0.000418469233220141,0.000294184532042595,1.07840403511097e-05,9.88422551926555e-06,0.000430492622681883,0.000219050633082644,0.000297118163195792,0.000179164217710608,0.000205086793813836,0,3.84997077792582e-05
"操作策略",0.000222245789941867,0.000685267210826314,0.000360038179705825,0,0,0.00038093927253519,0.000357067880522716,0,0,0.000111966959232602,0.000281513384353434,0.000450785736679057,0.000489288205733713,0.000373387612947488,0,0
"操作思路",0.000327761389708292,0.00134748189321206,0,0,0,0.000280898876404494,0,0,0,0.000825627476882431,0.000138389150290617,0.000132961042414573,0.000481058328322309,0.000412995594713656,0,0
"策略",0.000198364840558712,0.000188194854757921,9.88772436015732e-05,1.34700396959273e-05,0.000168315368768198,6.53858176906471e-05,0.000179779436248253,0,9.88422551926555e-06,9.22484191461177e-05,0.000141738644935828,0.000136179158131405,0.000123175399676043,0.000102543396906918,3.1883142697688e-05,5.13329437056775e-05
"测试",6.10353355565267e-05,9.40974273789605e-05,4.94386218007866e-05,1.79600529279031e-05,1.77174072387577e-05,3.92314906143883e-05,4.90307553404326e-05,0.000118624443862207,0,7.68736826217647e-05,7.73119881468155e-05,8.66594642654395e-05,7.83843452483909e-05,2.56358492267295e-05,1.06277142325627e-05,4.27774530880646e-06
"层面",0.000163880694854146,0,0,4.82229830737329e-05,0.000333000333000333,0,0,0,0.000106157112526539,0.000165125495376486,0,0.000132961042414573,0,0.000275330396475771,0,9.18864283745291e-05
"差异",0.00023189732862649,0,0,0.000204711988129263,0.000201946267914777,0,0,0.000655565206985797,0.000150216295040217,0,0,0,0,0,0,0.000130022741824758
"产出",0.00023189732862649,0,0.00150269468949966,0.001296509258152,0,0.000596223665426479,0,0,0,0,0,0.000188144860959825,0,0,0,0.000130022741824758
"产量",0.000177177443907802,0.000182101526482298,0,0.000312813838855786,7.71469075728133e-05,0.000607380203778318,0.000379545993584485,0,0,0.000446308108786908,0.000224426396912276,0.000503121748376402,0.000260044921882238,0,0,0.000124177244639048
"产品",0.000111122894970934,0,0.000120012726568608,0.00055587705005135,0.000806422036430995,0.000190469636267595,0,0.000392675414125919,0.00201550035489956,0,0,0,0.000244644102866857,0,0.00154793266776084,0.00087227847758678
"产生",6.10353355565267e-05,0,4.94386218007866e-05,3.59201058558061e-05,8.85870361937886e-05,6.53858176906471e-05,4.90307553404326e-05,1.07840403511097e-05,9.88422551926555e-06,4.61242095730588e-05,5.15413254312103e-05,3.71397703994741e-05,7.83843452483909e-05,5.1271698453459e-05,4.25108569302506e-05,3.84997077792582e-05
"尝试",0.000195451504087577,0.000200883455944483,0,0.000172538710219761,0,0,0,0.000138133550838823,0,0,0,0,0.0001434329618692,0,0.000136131158308686,0.000219175793061177
